,port_id,k
0,0,[270112 260111 100199 260112 260600 250100 270119]
1,1,[271000]
2,2,[271000 270900]
3,3,[271000]
4,4,[151190 252100 270119 260600 260111 251710 261800 252329]
5,5,[271000 270900]
6,6,"[270210 270119 270112 260600 260400 260112 260111 252310 251710 252329
 261800]"
7,7,[271000 270900]
8,8,[271000]
9,9,[270900 271000]
10,10,[271000 270900 251710]
11,11,[270900 271000]
12,12,[271000 270900]
13,13,[271000 260111 252329 270900 251710 252310 252100]
14,14,[270112 261800 260111 250100 260112 252329 251710]
15,15,[271000 270900 260112 252100 252329 252310 251710]
16,16,[260112 271000]
17,17,[250100 260112 260111 261800 270119 252100 251710 252329]
18,18,[151190]
19,19,[261800 252329 252100 252310]
20,20,[270900 271000]
21,21,[271000 270900]
22,22,[271000]
23,23,[270900 271000]
24,24,[260400]
25,25,[270900 271000 260112 260111 252100 252310]
26,26,[260400 270210 270119]
27,27,[270112 260111 270119 270900]
28,28,[270900 271000]
29,29,[252329 252310 260600 260111 100199 271000 270900]
30,30,[260112 260111 252329 252310 271000]
31,31,[260111 270210]
32,32,[252329 252310 260112 252100 251710]
33,33,[260111]
34,34,[270900]
35,35,[260111 271000 260112 252310 252329]
36,36,[260111 260112]
37,37,[252329 252310]
